
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-13 18:11:54 /api/v1/notifications/1000000 ...................................................... ~ 531.63ms
  2026-08-13 18:11:54 /api/v1/notifications/1000000/unread-count ........................................... ~ 0.79ms
  2026-08-13 18:11:54 /api/v1/analytics/1000000/executive-summary .......................................... ~ 4.88ms
  2026-08-13 18:11:55 /api/v1/workspace/1000000/home-metrics ............................................... ~ 5.01ms
  2026-08-13 18:11:55 /api/v1/reasoning-engine/1000000/missing-evidence .................................... ~ 3.21ms
  2026-08-13 18:11:55 /api/v1/reasoning-engine/1000000/duplicate-signals ................................... ~ 2.14ms
  2026-08-13 18:11:55 /api/v1/notifications/1000000/unread-count ........................................... ~ 1.57ms
  2026-08-13 18:11:55 /api/v1/ai/executions/1000000 ........................................................ ~ 1.31ms
  2026-08-13 18:11:55 /api/v1/ai/providers ............................................................... ~ 497.93ms
  2026-08-13 18:11:55 /api/v1/tasks/registry ............................................................. ~ 498.94ms
  2026-08-13 18:11:55 /api/v1/capabilities/1000000 ......................................................... ~ 2.67ms
  2026-08-13 18:11:55 /api/v1/departments/1000000 .......................................................... ~ 1.78ms
  2026-08-13 18:11:55 /api/v1/organizations/1000000 ........................................................ ~ 2.41ms
  2026-08-13 18:11:55 /api/v1/notifications/1000000 ........................................................ ~ 2.71ms
  2026-08-13 18:11:55 /api/v1/notifications/1000000/unread-count ........................................... ~ 3.36ms
  2026-08-13 18:11:55 /api/v1/analytics/1000000/executive-summary .......................................... ~ 2.78ms
  2026-08-13 18:11:55 /api/v1/workspace/1000000/home-metrics ............................................... ~ 2.91ms
  2026-08-13 18:11:55 /api/v1/reasoning-engine/1000000/missing-evidence .................................... ~ 3.52ms
  2026-08-13 18:11:55 /api/v1/reasoning-engine/1000000/duplicate-signals ................................... ~ 3.05ms
  2026-08-13 18:11:55 /api/v1/notifications/1000000/unread-count ........................................... ~ 3.02ms
  2026-08-13 18:11:55 /api/v1/ai/executions/1000000 ........................................................ ~ 3.08ms
  2026-08-13 18:11:55 /api/v1/ai/providers ................................................................. ~ 3.25ms
  2026-08-13 18:11:55 /api/v1/tasks/registry ............................................................... ~ 3.21ms
  2026-08-13 18:11:55 /api/v1/capabilities/1000000 ......................................................... ~ 2.18ms
