Subject,Assigned To,Status,Remarks,Start Date
Task 1,Priya,Open,Reviewed,2026-07-01
Task 2,Priya,Open,Reviewed,2026-07-01
Task 3,Priya,Open,Reviewed,2026-07-01
Task 4,Priya,Open,Reviewed,2026-07-01
Task 5,Priya,Open,Reviewed,2026-07-01
Task 6,Priya,Open,Reviewed,2026-07-01
Task 7,Priya,Open,Reviewed,2026-07-01
Task 8,Priya,Open,Reviewed,2026-07-01
Task 9,Priya,Open,Reviewed,2026-07-01
Task 10,Priya,Open,Reviewed,2026-07-01
Task 11,Priya,Open,Reviewed,2026-07-01
Task 12,Priya,Open,Reviewed,2026-07-01
Task 13,Priya,Open,Reviewed,2026-07-01
Task 14,Priya,Open,Reviewed,2026-07-01
Task 15,Priya,Open,Reviewed,2026-07-01
Task 16,Priya,Open,Reviewed,2026-07-01
Task 17,Priya,Open,Reviewed,2026-07-01
Task 18,Priya,Open,Reviewed,2026-07-01
Task 19,Priya,Open,Reviewed,2026-07-01
Task 20,Priya,Open,Reviewed,2026-07-01
Task 21,Priya,Open,Reviewed,2026-07-01
Task 22,Priya,Open,Reviewed,2026-07-01
Task 23,Priya,Open,Reviewed,2026-07-01
Task 24,Priya,Open,Reviewed,2026-07-01
Task 25,Priya,Open,Reviewed,2026-07-01
Task 26,Priya,Open,Reviewed,2026-07-01
Task 27,Priya,Open,Reviewed,2026-07-01
Task 28,Priya,Open,Reviewed,2026-07-01
Task 29,Priya,Open,Reviewed,2026-07-01
Task 30,Priya,Open,Reviewed,2026-07-01
Task 31,Priya,Open,Reviewed,2026-07-01
Task 32,Priya,Open,Reviewed,2026-07-01
Task 33,Priya,Open,Reviewed,2026-07-01
Task 34,Priya,Open,Reviewed,2026-07-01
Task 35,Priya,Open,Reviewed,2026-07-01
Task 36,Priya,Open,Reviewed,2026-07-01
Task 37,Priya,Open,Reviewed,2026-07-01
Task 38,Priya,Open,Reviewed,2026-07-01
Task 39,Priya,Open,Reviewed,2026-07-01
Task 40,Priya,Open,Reviewed,2026-07-01
Task 41,Priya,Open,Reviewed,2026-07-01
Task 42,Priya,Open,Reviewed,2026-07-01
Task 43,Priya,Open,Reviewed,2026-07-01
Task 44,Priya,Open,Reviewed,2026-07-01
Task 45,Priya,Open,Reviewed,2026-07-01
Task 46,Priya,Open,Reviewed,2026-07-01
Task 47,Priya,Open,Reviewed,2026-07-01
Task 48,Priya,Open,Reviewed,2026-07-01
Task 49,Priya,Open,Reviewed,2026-07-01
Task 50,Priya,Open,Reviewed,2026-07-01
Task 51,Priya,Open,Reviewed,2026-07-01
Task 52,Priya,Open,Reviewed,2026-07-01
Task 53,Priya,Open,Reviewed,2026-07-01
Task 54,Priya,Open,Reviewed,2026-07-01
Task 55,Priya,Open,Reviewed,2026-07-01
Task 56,Priya,Open,Reviewed,2026-07-01
Task 57,Priya,Open,Reviewed,2026-07-01
Task 58,Priya,Open,Reviewed,2026-07-01
Task 59,Priya,Open,Reviewed,2026-07-01
Task 60,Priya,Open,Reviewed,2026-07-01
Task 61,Priya,Open,Reviewed,2026-07-01
Task 62,Priya,Open,Reviewed,2026-07-01
Task 63,Priya,Open,Reviewed,2026-07-01
Task 64,Priya,Open,Reviewed,2026-07-01
Task 65,Priya,Open,Reviewed,2026-07-01
Task 66,Priya,Open,Reviewed,2026-07-01
Task 67,Priya,Open,Reviewed,2026-07-01
Task 68,Priya,Open,Reviewed,2026-07-01
Task 69,Priya,Open,Reviewed,2026-07-01
Task 70,Priya,Open,Reviewed,2026-07-01
Task 71,Priya,Open,Reviewed,2026-07-01
Task 72,Priya,Open,Reviewed,2026-07-01
Task 73,Priya,Open,Reviewed,2026-07-01
Task 74,Priya,Open,Reviewed,2026-07-01
Task 75,Priya,Open,Reviewed,2026-07-01
Task 76,Priya,Open,Reviewed,2026-07-01
Task 77,Priya,Open,Reviewed,2026-07-01
Task 78,Priya,Open,Reviewed,2026-07-01
