enrolment_no,standards,assessments
10000,CBSE-4|CBSE-5,29
10001,CBSE-10|CBSE-7|CBSE-8|CBSE-9,130
10004,CBSE-11|CBSE-12,40
10010,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
10015,CBSE-4,17
10016,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
10017,CBSE-11|CBSE-12,30
10019,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
10020,CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7,103
10023,CBSE-10|CBSE-7|CBSE-8|CBSE-9,123
10025,CBSE-11|CBSE-12,30
10026,CBSE-5,19
10027,CBSE-11|CBSE-12,38
10032,CBSE-11|CBSE-12,35
10038,CBSE-4|CBSE-5|CBSE-6|CBSE-7,109
10039,CBSE-4|CBSE-5,39
10046,CBSE-4|CBSE-5|CBSE-6|CBSE-7,108
10048,CBSE-4|CBSE-5|CBSE-6|CBSE-7,105
10054,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
10055,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
10057,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
10059,CBSE-11|CBSE-12,37
10061,CBSE-11|CBSE-12,29
10064,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
10073,CBSE-11|CBSE-12,40
10082,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10083,CBSE-11|CBSE-12,41
10091,CBSE-4|CBSE-5,36
10094,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,110
10095,CBSE-11|CBSE-12,30
10096,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
10101,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10103,CBSE-4|CBSE-5,36
10113,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
10115,CBSE-4|CBSE-5|CBSE-6,63
10117,CBSE-4|CBSE-5,36
10118,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10124,CBSE-4|CBSE-5,36
10125,CBSE-10|CBSE-11|CBSE-8|CBSE-9,112
10128,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10129,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10134,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,75
10135,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7|CBSE-8,110
10139,CBSE-4|CBSE-5|CBSE-6,64
10151,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10154,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10156,CBSE-4,17
10165,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10168,CBSE-4|CBSE-5|CBSE-6|CBSE-7,107
10179,CBSE-4|CBSE-5|CBSE-6|CBSE-7,89
10187,CBSE-4|CBSE-5|CBSE-6|CBSE-7,87
10196,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10207,CBSE-4|CBSE-5|CBSE-6|CBSE-7,102
10209,CBSE-4|CBSE-5,36
10213,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10214,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,94
10218,CBSE-4|CBSE-5|CBSE-6|CBSE-7,107
10219,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7|CBSE-8,95
10220,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,96
10221,CBSE-4|CBSE-5|CBSE-6|CBSE-7,99
10224,CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7,110
10226,CBSE-4|CBSE-5|CBSE-6|CBSE-7,109
10228,CBSE-6|CBSE-7|CBSE-8|CBSE-9,121
10229,CBSE-6|CBSE-7|CBSE-8,105
10230,CBSE-4|CBSE-5|CBSE-6,60
10233,CBSE-8,42
10237,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
10238,CBSE-2|CBSE-4|CBSE-5|CBSE-7,71
10242,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10244,CBSE-4|CBSE-5|CBSE-6|CBSE-7,88
10246,CBSE-2|CBSE-4|CBSE-5|CBSE-6,58
10249,CBSE-4|CBSE-5|CBSE-7,43
10252,CBSE-4|CBSE-5|CBSE-6|CBSE-7,105
10253,CBSE-4|CBSE-5,39
10255,CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7,100
10257,CBSE-4|CBSE-5,36
10258,CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7,108
10259,CBSE-4|CBSE-5|CBSE-6|CBSE-7,108
10261,CBSE-4|CBSE-5|CBSE-6|CBSE-7,79
10262,CBSE-4|CBSE-5|CBSE-6|CBSE-7,99
10263,CBSE-2|CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7|CBSE-8,98
10265,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7|CBSE-8,110
10266,CBSE-4|CBSE-5|CBSE-6|CBSE-7,89
10269,CBSE-4|CBSE-5|CBSE-6|CBSE-7,85
10273,CBSE-4|CBSE-5|CBSE-6|CBSE-7,91
10275,CBSE-4|CBSE-5|CBSE-6|CBSE-7,97
10278,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10279,CBSE-3|CBSE-4|CBSE-5|CBSE-6,52
10284,CBSE-7|CBSE-8,84
10285,CBSE-10|CBSE-7|CBSE-8|CBSE-9,119
10287,CBSE-6,42
10289,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10290,CBSE-3|CBSE-4|CBSE-5,37
10291,CBSE-3|CBSE-4,34
10292,CBSE-11|CBSE-12,41
10299,CBSE-6,35
10300,CBSE-3|CBSE-4|CBSE-5,48
10304,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
10306,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10309,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
10311,CBSE-3|CBSE-4|CBSE-5|CBSE-6,75
10319,CBSE-3|CBSE-4|CBSE-5,48
10322,CBSE-3|CBSE-4|CBSE-5|CBSE-6,55
10329,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
10332,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10333,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10334,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
10336,CBSE-11|CBSE-12,30
10347,CBSE-3,17
10349,CBSE-3|CBSE-4|CBSE-5|CBSE-6,92
10367,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
10380,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10390,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10391,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10397,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10398,CBSE-11|CBSE-12,38
10400,CBSE-3,17
10402,CBSE-3|CBSE-4,34
10406,CBSE-3|CBSE-4,34
10411,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10416,CBSE-3,17
10419,CBSE-3|CBSE-4|CBSE-5,48
10424,CBSE-6|CBSE-7,84
10428,CBSE-3|CBSE-4|CBSE-5|CBSE-6,92
10433,CBSE-5|CBSE-6|CBSE-7|CBSE-8,112
10434,CBSE-3|CBSE-4|CBSE-5,67
10441,CBSE-6|CBSE-7|CBSE-8|CBSE-9,120
10442,CBSE-6|CBSE-7|CBSE-8|CBSE-9,120
10444,CBSE-11|CBSE-12,30
10445,CBSE-11|CBSE-12,41
10447,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10454,CBSE-3|CBSE-4|CBSE-5|CBSE-6,68
10458,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
10459,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10468,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
10469,CBSE-11|CBSE-12,37
10470,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
