
   INFO  Server running on [http://127.0.0.1:8004].  

  Press Ctrl+C to stop the server

  2026-08-22 11:24:23 /api/v1/auth/login ...................................................................... ~ 10s
  2026-08-22 11:24:49 /api/v1/graph/76/vocabulary .......................................................... ~ 0.91ms
  2026-08-22 11:24:52 /api/v1/graph/76/search .................................................................. ~ 1s
  2026-08-22 11:25:14 /api/v1/graph/76/overview ............................................................ ~ 0.93ms
  2026-08-22 11:25:15 /api/v1/graph/76/overview .......................................................... ~ 502.43ms
  2026-08-22 11:25:16 /api/v1/graph/76/overview ............................................................ ~ 2.23ms
  2026-08-22 11:25:46 /api/v1/auth/login ....................................................................... ~ 2s
  2026-08-22 11:25:52 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-22 11:26:13 /api/v1/auth/login ................................................................... ~ 0.50ms
  2026-08-22 11:26:13 /api/v1/auth/login ................................................................... ~ 0.23ms
