
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server

  2026-08-31 12:27:51 /api/v1/auth/login ................................................................. ~ 502.39ms
  2026-08-31 12:29:06 /api/v1/auth/login ................................................................. ~ 531.97ms
  2026-08-31 12:30:06 /api/v1/auth/login ................................................................. ~ 514.62ms
  2026-08-31 12:30:08 /api/v1/notifications/1000018/unread-count ......................................... ~ 529.37ms
  2026-08-31 12:30:09 /api/v1/organizations/1000018/1000018/structure ...................................... ~ 0.40ms
  2026-08-31 12:30:10 /api/v1/operations/1000018/overview ...................................................... ~ 1s
  2026-08-31 12:30:14 /api/v1/auth/logout ................................................................ ~ 531.23ms
  2026-08-31 12:30:37 /api/v1/workspace/1000018/home-metrics .............................................. ~ 16.64ms
  2026-08-31 12:30:37 /api/v1/organizations/1000018/1000018/structure .................................... ~ 511.83ms
  2026-08-31 12:30:38 /api/v1/operations/1000018/overview ...................................................... ~ 1s
  2026-08-31 12:30:39 /api/v1/organizations/1000018 ........................................................ ~ 0.16ms
  2026-08-31 12:30:57 /api/v1/departments/1000018 ........................................................ ~ 522.75ms
  2026-08-31 12:32:37 /api/v1/notifications/1000018/unread-count .......................................... ~ 16.66ms
  2026-08-31 12:36:37 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.50ms
  2026-08-31 12:39:02 /api/v1/departments/1000018/intelligence ........................................... ~ 502.67ms
  2026-08-31 12:39:02 /api/v1/departments/1000018/intelligence ................................................. ~ 4s
  2026-08-31 12:42:37 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.69ms
  2026-08-31 12:46:45 /api/v1/notifications/1000018/unread-count ......................................... ~ 501.64ms
  2026-08-31 12:46:46 /api/v1/notifications/1000018/unread-count ......................................... ~ 525.17ms
  2026-08-31 12:50:39 /api/v1/notifications/1000018/unread-count ......................................... ~ 529.90ms
  2026-08-31 12:52:28 /api/v1/departments/1000018/intelligence ............................................ ~ 17.88ms
  2026-08-31 12:52:29 /api/v1/notifications/1000018/unread-count ......................................... ~ 520.82ms
  2026-08-31 12:52:37 /api/v1/organizations/1000018 ...................................................... ~ 523.85ms
  2026-08-31 12:52:38 /api/v1/departments/1000018 .......................................................... ~ 0.40ms
  2026-08-31 12:52:38 /api/v1/departments/1000018 ........................................................ ~ 517.66ms
  2026-08-31 12:52:42 /api/v1/auth/logout ................................................................. ~ 17.76ms
  2026-08-31 12:52:55 /api/v1/auth/login .................................................................. ~ 17.41ms
  2026-08-31 13:13:48 /api/v1/workspace/1000018/home-metrics ............................................... ~ 0.57ms
  2026-08-31 13:13:48 /api/v1/workspace/1000018/home-metrics ................................................... ~ 1s
  PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\Users\omshivay\Desktop\ADK\hp-enterprise-brain\vendor\laravel\framework\src\Illuminate\Filesystem\Filesystem.php on line 29
  2026-08-31 13:13:49 /api/v1/operations/1000018/overview ..................................................... ~ 59s
  2026-08-31 13:14:49 /api/v1/organizations/1000018 ...................................................... ~ 508.48ms
  2026-08-31 13:15:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 1.97ms
  2026-08-31 13:19:48 /api/v1/notifications/1000018/unread-count ......................................... ~ 520.24ms
  2026-08-31 13:21:06 /api/v1/departments/1000000/1982/twin ................................................ ~ 0.51ms
  2026-08-31 13:21:07 /api/v1/operations/1000000/overview ................................................ ~ 531.43ms
  2026-08-31 13:21:11 /api/v1/operations/8/loop .......................................................... ~ 516.57ms
  2026-08-31 13:21:20 /api/v1/navigation/test-tenant ..................................................... ~ 523.03ms
  2026-08-31 13:21:20 /api/v1/navigation/test-tenant ....................................................... ~ 0.21ms
  2026-08-31 13:21:20 /api/v1/feature-flags/test-tenant .................................................. ~ 508.17ms
  2026-08-31 13:22:12 /api/v1/departments/1000000/1982/twin .............................................. ~ 533.62ms
  2026-08-31 13:22:12 /api/v1/departments/1000000/1982/twin .............................................. ~ 529.43ms
  2026-08-31 13:22:17 /api/v1/operations/8/loop .......................................................... ~ 531.54ms
  2026-08-31 13:22:23 /api/v1/feature-flags/test-tenant .................................................... ~ 3.81ms
  2026-08-31 13:22:26 /api/v1/navigation/test-tenant ..................................................... ~ 519.53ms
  2026-08-31 13:22:26 /api/v1/navigation/test-tenant ....................................................... ~ 0.19ms
  2026-08-31 13:22:45 /api/v1/operations/1000000/overview ................................................. ~ 17.52ms
  2026-08-31 13:22:49 /api/v1/operations/8/loop ........................................................... ~ 20.68ms
  2026-08-31 13:22:50 /api/v1/departments/1000000/1982/twin ................................................ ~ 2.07ms
  2026-08-31 13:22:51 /api/v1/departments/1000000/1982/twin .............................................. ~ 509.67ms
  2026-08-31 13:22:57 /api/v1/feature-flags/test-tenant .................................................. ~ 507.93ms
  2026-08-31 13:22:59 /api/v1/terminology/test-tenant ...................................................... ~ 0.28ms
  2026-08-31 13:22:59 /api/v1/terminology/test-tenant .................................................... ~ 515.84ms
  2026-08-31 13:23:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.35ms
  2026-08-31 13:27:48 /api/v1/notifications/1000018/unread-count ......................................... ~ 506.57ms
  2026-08-31 14:09:07 /api/v1/auth/login ................................................................. ~ 500.64ms
  2026-08-31 14:09:08 /api/v1/organizations/1000018/1000018/structure ...................................... ~ 1.62ms
  2026-08-31 14:09:09 /api/v1/capabilities/1000018 ......................................................... ~ 0.54ms
  2026-08-31 14:09:09 /api/v1/organizations/1000018 ...................................................... ~ 508.11ms
  2026-08-31 14:09:26 /api/v1/departments/1000018/summary ................................................ ~ 517.43ms
  2026-08-31 14:09:27 /api/v1/departments/1000018/summary ................................................ ~ 514.58ms
  2026-08-31 14:09:38 /api/v1/departments/1000018/intelligence ........................................... ~ 529.45ms
  PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\Users\omshivay\Desktop\ADK\hp-enterprise-brain\vendor\laravel\framework\src\Illuminate\Support\Sleep.php on line 342
  2026-08-31 14:09:38 /api/v1/departments/1000018/intelligence ................................................ ~ 59s
  2026-08-31 14:14:49 /api/v1/operations/8/loop .......................................................... ~ 533.63ms
  2026-08-31 14:14:50 /api/v1/operations/8/loop ............................................................ ~ 0.61ms
  2026-08-31 14:14:55 /api/v1/departments/1000000/1982/twin .............................................. ~ 547.27ms
  2026-08-31 14:15:02 /api/v1/terminology/test-tenant ...................................................... ~ 4.77ms
  2026-08-31 14:15:02 /api/v1/terminology/test-tenant .................................................... ~ 516.31ms
  2026-08-31 14:15:04 /api/v1/feature-flags/test-tenant .................................................... ~ 0.50ms
